,symbol,sector,longName
308,3055.TW,Technology,Spirox Corporation
309,3058.TW,Technology,Leader Electronics Inc.
310,3059.TW,Technology,Altek Corporation
311,3060.TW,Technology,"Min Aik Technology Co., Ltd."
312,3062.TW,Technology,"CyberTAN Technology, Inc."
313,3090.TW,Technology,Nichidenbo Corporation
314,3130.TW,Industrials,104 Corporation
315,3209.TW,Technology,Alltek Technology Corporation
316,3231.TW,Technology,Wistron Corporation
317,3305.TW,Technology,Shenmao Technology Inc
318,3311.TW,Technology,Silitech Technology Corporation
319,3356.TW,Industrials,GeoVision Inc.
320,3376.TW,Industrials,"Shin Zu Shing Co., Ltd."
321,3380.TW,Technology,Alpha Networks Inc.
322,3406.TW,Technology,"Genius Electronic Optical Co., Ltd."
323,3419.TW,Technology,"Wha Yu Industrial Co., Ltd."
324,3443.TW,Technology,Global Unichip Corp.
325,3454.TW,Industrials,Vivotek Inc.
326,3481.TW,Technology,Innolux Corporation
327,3576.TW,Technology,"United Renewable Energy Co., Ltd."
328,3591.TW,Technology,Edison Opto Corporation
329,3645.TW,Technology,Taimide Tech. Inc.
330,3661.TW,Technology,"Alchip Technologies, Limited"
331,3665.TW,Technology,Bizlink Holding Inc.
332,3673.TW,Technology,"TPK Holding Co., Ltd."
333,3679.TW,Technology,Nishoku Technology Inc.
334,3682.TW,Communication Services,"Asia Pacific Telecom Co., Ltd."
335,3686.TW,Technology,Danen Technology Corporation
336,3694.TW,Technology,"AzureWave Technologies, Inc."
337,3698.TW,Technology,Lextar Electronics Corporation
338,3702.TW,Technology,WPG Holdings Limited
339,3711.TW,Technology,"ASE Technology Holding Co., Ltd."
340,4904.TW,Communication Services,"Far EasTone Telecommunications Co., Ltd."
341,4906.TW,Technology,"Gemtek Technology Co., Ltd."
342,4912.TW,Industrials,"Lemtech Holdings Co., Limited"
343,4915.TW,Technology,Primax Electronics Ltd.
344,4927.TW,Technology,"Apex International Co., Ltd."
345,4934.TW,Technology,"Tainergy Tech Co., Ltd."
346,4935.TW,Technology,Global Lighting Technologies Inc.
347,4938.TW,Technology,Pegatron Corporation
348,4942.TW,Technology,"Chia Chang Co., Ltd"
349,4952.TW,Technology,Generalplus Technology Inc.
350,4956.TW,Technology,"Epileds Technologies, Inc."
351,4958.TW,Technology,Zhen Ding Technology Holding Limited
352,4968.TW,Technology,RichWave Technology Corporation
353,4976.TW,Technology,"Calin Technology Co., Ltd."
354,4977.TW,Technology,"PCL Technologies, Inc."
355,4994.TW,Communication Services,"X-Legend Entertainment Co., Ltd."
356,4999.TW,Industrials,Sinher Technology Inc.
357,5203.TW,Technology,CyberLink Corp.
358,5225.TW,Technology,Eastech Holding Limited
359,5264.TW,Technology,Casetek Holdings Limited
360,5269.TW,Technology,ASMedia Technology Inc.
361,5285.TW,Technology,"Jih Lin Technology Co., Ltd."
362,5305.TW,Technology,Lite-On Semiconductor Corp.
363,5388.TW,Technology,Sercomm Corporation
364,5434.TW,Technology,"Topco Scientific Co.,Ltd."
365,5471.TW,Technology,"Sonix Technology Co.,Ltd."
366,6112.TW,Technology,"SYSAGE Technology Co., Ltd."
367,6115.TW,Industrials,"I-Sheng Electric Wire & Cable Co., Ltd."
368,6116.TW,Technology,HannStar Display Corporation
369,6120.TW,Technology,Darwin Precisions Corporation
370,6136.TW,Communication Services,"Fullerton Technology Co., Ltd."
371,6139.TW,Industrials,"L&K Engineering Co., Ltd."
372,6141.TW,Technology,"Plotech Co.,Ltd"
373,6142.TW,Technology,"Cameo Communications, Inc."
374,6153.TW,Technology,"Career Technology (Mfg.) Co., Ltd."
375,6166.TW,Technology,"ADLINK Technology, Inc."
376,6168.TW,Technology,Harvatek Corporation
377,6176.TW,Technology,Radiant Opto-Electronics Corporation
378,6183.TW,Industrials,Trade-Van Information Services Co.
379,6189.TW,Technology,"Promate Electronic Co.,Ltd."
